trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,0,-255.7882035401597,"{0: 14, 1: 4, 2: 5, 3: 4, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-75.06351742147686,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",30,0,-163.227626033986,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.98}",30,0,-140.14282253899256,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",25,0,-301.0385457111953,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 6}",0
6,False,"{'a': 0.5, 'e': 0.97}",30,0,-174.16478550890562,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-63.51572351761539,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-109.02818215824162,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",30,5,-128.13769561708773,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.95}",30,0,-339.314492611272,"{0: 10, 1: 5, 2: 8, 3: 2, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-123.67924638503538,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.94}",25,8,-143.8952185030952,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-101.15137662595234,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-72.32568284444417,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-66.99473981597218,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-113.20279281329361,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,3,-101.30250083301232,"{0: 8, 1: 2, 2: 6, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-121.54808193712506,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",30,0,-221.72956128298586,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-39.17735095868274,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-168.48260400428873,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,16,0.8664825420799307,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-158.64327502661567,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,0.24825791570625277,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",25,0,-128.55972086585095,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-130.34647504045031,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,1,-20.5722696931338,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-76.82594772985365,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,6,-49.909292281403125,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-101.89717503820548,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",20,0,-58.58923884117115,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,12,-33.91973743055377,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",25,12,-14.04303576109165,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
